"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"571","Better Not (with Wafia)","Louis The Child","Electronic Dance",1,72,113.988,0.537,0.783,-2.921,0.0795,0.278,0.229,0,0.393,222866
"572","Forever (feat. Post Malone & Clever)","Justin Bieber","Pop",0,89,139.98,0.483,0.825,-5.746,0.08,0.538,0.204,1.48e-05,0.892,219933
"573","Middle of a Memory","Cole Swindell","Country",1,65,139.788,0.746,0.531,-4.228,0.0329,0.0972,0.102,0,0.304,226307
"574","Country Girl (Shake It For Me)","Luke Bryan","Country",1,72,105.97,0.904,0.645,-4.532,0.0462,0.0293,0.0834,0,0.671,225560
"575","Where It's At","Dustin Lynch","Country",1,61,158.05,0.737,0.557,-5.75,0.0476,0.0142,0.314,0,0.817,204187
"576","To Die For","Sam Smith","Pop",1,88,171.649,0.361,0.483,-7.889,0.0738,0.832,0.098,4.66e-06,0.307,193795
"577","Good Things Fall Apart (with Jon Bellion)","ILLENIUM","Electronic Dance",1,69,144.01,0.603,0.643,-5.416,0.0311,0.012,0.118,0,0.42,216668
"578","Better Now","Post Malone","Pop",1,85,145.038,0.578,0.68,-5.804,0.04,0.331,0.135,0,0.341,231267
"579","Solo (feat. Demi Lovato)","Demi Lovato","Pop",0,72,104.966,0.622,0.74,-4.608,0.0446,0.0357,0.356,4.85e-05,0.556,222707
"580","Falling","Iration","Alternative/Reggae",1,56,125.01,0.416,0.799,-9.547,0.0428,0.00765,0.122,2.07e-06,0.818,240760
"581","From the Ground Up","Dan + Shay","Country",1,69,151.568,0.58,0.281,-5.967,0.0323,0.333,0.122,0,0.282,253933
"582","Goodbyes (feat. Young Thug)","Post Malone","Pop",1,86,150.068,0.653,0.548,-3.875,0.081,0.456,0.103,0,0.163,174853
"583","Apologize","OneRepublic","Alternative/Reggae",1,70,118.008,0.74,0.593,-6.12,0.0339,0.363,0.102,2.22e-05,0.502,208107
"584","Ice Tray","Lil Yachty","Hip Hop",0,64,129.969,0.504,0.89,-5.444,0.123,0.023,0.123,0,0.222,213613
"585","Tailgate","RaeLynn","Country",0,50,176.048,0.755,0.606,-5.156,0.115,0.0525,0.0998,0,0.75,182289
"586","Federal Fed (feat. Future)","Moneybagg Yo","Hip Hop",1,61,138.04,0.644,0.796,-5.945,0.175,0.00881,0.126,0,0.242,209575
"587","Boy With Luv (feat. Halsey)","Halsey","Pop",0,83,119.991,0.862,0.645,-4.757,0.0965,0.0923,0.192,0,0.798,229773
"588","Ridin’ Roads","Dustin Lynch","Country",1,76,142.118,0.817,0.547,-4.255,0.0448,0.0986,0.136,0,0.592,205427
"589","Love Is Alive","Louis The Child","Electronic Dance",1,61,97.863,0.5,0.676,-6.878,0.0412,0.701,0.596,0,0.915,170611
"590","Lights Up","Harry Styles","Pop",0,85,101.987,0.621,0.575,-8.165,0.032,0.0392,0.141,0.0045,0.27,172213
"591","Rowdy","RaeLynn","Country",1,45,100.006,0.881,0.528,-2.836,0.0442,0.711,0.198,4.29e-05,0.506,187006
"592","the other girl (with Halsey)","Halsey","Pop",0,76,179.869,0.769,0.583,-4.859,0.159,0.419,0.0988,0,0.785,201344
"593","I Won't Let Go","Rascal Flatts","Country",1,57,131.96,0.406,0.557,-7.083,0.0278,0.742,0.113,0,0.222,227760
"594","In Flames","Dabin","Electronic Dance",0,54,91.985,0.729,0.481,-4.351,0.0365,0.00833,0.103,0,0.297,204783
"595","Bounce Back","Big Sean","Hip Hop",0,75,81.502,0.574,0.78,-5.628,0.141,0.104,0.129,0,0.273,222360
